application,version,instrumentor,trial,function,iteration,zip,numNodes,ipTime,tSize,triangleTime,depth
tcas,1,cc-lemon,1,main,0,0,0,0,0,0,0
tcas,1,bb-lemon,1,initialize,0,0,0,0,0,0,0
tcas,1,bb-lemon,1,ALIM,0,0,0,0,0,0,0
tcas,1,bb-lemon,1,Inhibit_Biased_Climb,0,0,0,0,0,0,0
tcas,1,bb-lemon,1,Non_Crossing_Biased_Climb,0,0.75,0,0,1,0,1
tcas,1,bb-lemon,1,Non_Crossing_Biased_Climb,1,1,0,0,0,0,0
tcas,1,bb-lemon,1,Non_Crossing_Biased_Descend,0,0.75,0,0,1,0,1
tcas,1,bb-lemon,1,Non_Crossing_Biased_Descend,1,1,0,0,0,0,0
tcas,1,bb-lemon,1,Own_Below_Threat,0,0,0,0,0,0,0
tcas,1,bb-lemon,1,Own_Above_Threat,0,0,0,0,0,0,0
tcas,1,bb-lemon,1,alt_sep_test,0,0.84375,0,0,2,0,1
tcas,1,bb-lemon,1,alt_sep_test,1,0.9375,0,0,1,0.004,1
tcas,1,bb-lemon,1,alt_sep_test,2,0.96875,0,0,0,0,0
tcas,1,bb-lemon,1,main,0,0,0,0,0,0,0
tcas,1,cc-lemon,2,main,0,0,0,0,0,0,0
tcas,1,bb-lemon,2,initialize,0,0,0,0,0,0,0
tcas,1,bb-lemon,2,ALIM,0,0,0,0,0,0,0
tcas,1,bb-lemon,2,Inhibit_Biased_Climb,0,0,0,0,0,0,0
tcas,1,bb-lemon,2,Non_Crossing_Biased_Climb,0,0.75,0,0.004,1,0,1
tcas,1,bb-lemon,2,Non_Crossing_Biased_Climb,1,1,0,0,0,0,0
tcas,1,bb-lemon,2,Non_Crossing_Biased_Descend,0,0.75,0,0,1,0,1
tcas,1,bb-lemon,2,Non_Crossing_Biased_Descend,1,1,0,0,0,0,0
tcas,1,bb-lemon,2,Own_Below_Threat,0,0,0,0,0,0,0
tcas,1,bb-lemon,2,Own_Above_Threat,0,0,0,0,0,0,0
tcas,1,bb-lemon,2,alt_sep_test,0,0.84375,0,0,2,0,1
tcas,1,bb-lemon,2,alt_sep_test,1,0.9375,0,0,1,0,1
tcas,1,bb-lemon,2,alt_sep_test,2,0.96875,0,0,0,0.004,0
tcas,1,bb-lemon,2,main,0,0,0,0,0,0,0
tcas,1,cc-lemon,3,main,0,0,0,0,0,0,0
tcas,1,bb-lemon,3,initialize,0,0,0,0,0,0,0
tcas,1,bb-lemon,3,ALIM,0,0,0,0,0,0,0
tcas,1,bb-lemon,3,Inhibit_Biased_Climb,0,0,0,0,0,0,0
tcas,1,bb-lemon,3,Non_Crossing_Biased_Climb,0,0.75,0,0,1,0,1
tcas,1,bb-lemon,3,Non_Crossing_Biased_Climb,1,1,0,0,0,0,0
tcas,1,bb-lemon,3,Non_Crossing_Biased_Descend,0,0.75,0,0,1,0,1
tcas,1,bb-lemon,3,Non_Crossing_Biased_Descend,1,1,0,0,0,0,0
tcas,1,bb-lemon,3,Own_Below_Threat,0,0,0,0,0,0,0
tcas,1,bb-lemon,3,Own_Above_Threat,0,0,0,0,0,0,0
tcas,1,bb-lemon,3,alt_sep_test,0,0.84375,0,0,2,0,1
tcas,1,bb-lemon,3,alt_sep_test,1,0.9375,0,0,1,0,1
tcas,1,bb-lemon,3,alt_sep_test,2,0.96875,0,0,0,0.004,0
tcas,1,bb-lemon,3,main,0,0,0,0,0,0,0
schedule,1,cc-lemon,1,new_ele,0,0,0,0,0,0,0
schedule,1,cc-lemon,1,new_list,0,0,0,0,0,0,0
schedule,1,cc-lemon,1,append_ele,0,0.380952,0,0,0,0,0
schedule,1,cc-lemon,1,free_ele,0,0,0,0,0,0,0
schedule,1,cc-lemon,1,finish_process,0,0.589286,0,0,0,0,0
schedule,1,cc-lemon,1,finish_all_processes,0,12.5833,0,0,0,0,0
schedule,1,cc-lemon,1,upgrade_process_prio,0,0.045977,0,0,0,0,0
schedule,1,cc-lemon,1,unblock_process,0,0.148148,0,0,0,0,0
schedule,1,cc-lemon,1,quantum_expire,0,0.214286,0,0,0,0,0
schedule,1,cc-lemon,1,block_process,0,0.214286,0,0,0,0,0
schedule,1,cc-lemon,1,new_process,0,0,0,0,0,0,0
schedule,1,cc-lemon,1,add_process,0,0.380952,0,0,0,0,0
schedule,1,cc-lemon,1,init_prio_queue,0,29.1667,0,0,0,0,0
schedule,1,cc-lemon,1,main,0,53.6824,0,0,3,0.004,1
schedule,1,cc-lemon,1,main,1,53.7327,0,0,0,0.036,0
schedule,1,bb-lemon,1,new_ele,0,0,0,0,0,0,0
schedule,1,bb-lemon,1,new_list,0,0,0,0,0,0,0
schedule,1,bb-lemon,1,append_ele,0,0.380952,0,0,0,0,0
schedule,1,bb-lemon,1,find_nth,0,0.64,0,0,1,0,1
schedule,1,bb-lemon,1,find_nth,1,0.96,0,0,0,0,0
schedule,1,bb-lemon,1,del_ele,0,0.5,0,0.004,0,0,0
schedule,1,bb-lemon,1,free_ele,0,0,0,0,0,0,0
schedule,1,bb-lemon,1,finish_process,0,0.839286,0,0,5,0,1
schedule,1,bb-lemon,1,finish_process,1,1.57143,0,0,1,0,1
schedule,1,bb-lemon,1,finish_process,2,2.51786,0,0,0,0,0
schedule,1,bb-lemon,1,finish_all_processes,0,74.9167,0,0,0,0,0
schedule,1,bb-lemon,1,schedule,0,0.839286,0,0,2,0,1
schedule,1,bb-lemon,1,schedule,1,0.982143,0,0,1,0,1
schedule,1,bb-lemon,1,schedule,2,1.92857,0,0,0,0,0
schedule,1,bb-lemon,1,upgrade_process_prio,0,0.643678,0,0,4,0.004,1
schedule,1,bb-lemon,1,upgrade_process_prio,1,1.07471,0,0,1,0,1
schedule,1,bb-lemon,1,upgrade_process_prio,2,1.27011,0,0,0,0,0
schedule,1,bb-lemon,1,unblock_process,0,1.09259,0,0,2,0,1
schedule,1,bb-lemon,1,unblock_process,1,1.48148,0,0,0,0,0
schedule,1,bb-lemon,1,quantum_expire,0,1.05357,0,0,5,0,1
schedule,1,bb-lemon,1,quantum_expire,1,1.78571,0,0,1,0,1
schedule,1,bb-lemon,1,quantum_expire,2,2.73214,0,0.004,0,0,0
schedule,1,bb-lemon,1,block_process,0,1.05357,0,0,5,0,1
schedule,1,bb-lemon,1,block_process,1,1.78571,0,0,1,0,1
schedule,1,bb-lemon,1,block_process,2,2.73214,0,0,0,0,0
schedule,1,bb-lemon,1,new_process,0,0,0,0,0,0,0
schedule,1,bb-lemon,1,add_process,0,0.380952,0,0,0,0,0
schedule,1,bb-lemon,1,init_prio_queue,0,29.1667,0,0,0,0,0
schedule,1,bb-lemon,1,initialize,0,0,0,0,0,0,0
schedule,1,bb-lemon,1,main,0,55.239,0,0,8,0.004,1
schedule,1,bb-lemon,1,main,1,55.2893,0,0,0,0.148,0
schedule,1,cc-lemon,2,new_ele,0,0,0,0,0,0,0
schedule,1,cc-lemon,2,new_list,0,0,0,0,0,0,0
schedule,1,cc-lemon,2,append_ele,0,0.380952,0,0,0,0,0
schedule,1,cc-lemon,2,free_ele,0,0,0,0,0,0,0
schedule,1,cc-lemon,2,finish_process,0,0.589286,0,0,0,0,0
schedule,1,cc-lemon,2,finish_all_processes,0,12.5833,0,0,0,0,0
schedule,1,cc-lemon,2,upgrade_process_prio,0,0.045977,0,0,0,0,0
schedule,1,cc-lemon,2,unblock_process,0,0.148148,0,0,0,0,0
schedule,1,cc-lemon,2,quantum_expire,0,0.214286,0,0,0,0,0
