Application,bb-diff-count,cc-diff-count,bb-diff-percent,cc-diff-percent
tcas,1,0,0.111,0
schedule2,0,1,0,0.062
schedule,0,0,0,0
replace,0,0,0,0
tot_info,0,0,0,0
print_tokens2,0,0,0,0
print_tokens,0,0,0,0
ccrypt,0,3,0,0.04
gzip,0,9,0,0.029
space,1,1,0.007,0.007
exif,2,1,0.011,0.006
bc,0,0,0,0
sed,,0,,0
flex,,0,,0
grep,,0,,0
bash,,29,,0.004
gcc,,,,
