application,instrumentor,saturatedrelativetime
bash,bb-lemon,24.0999
bash,bb-local,78.703
bash,bb-none,1
bash,bb-simple,0.982711
bash,cc-lemon,2.86585
bash,cc-local,18.5074
bash,cc-none,1
bash,cc-simple,0.993271
bc,bb-lemon,20.4065
bc,bb-local,214.819
bc,bb-none,1
bc,bb-simple,0.978059
bc,cc-lemon,1.93417
bc,cc-local,4.73953
bc,cc-none,1
bc,cc-simple,0.995081
ccrypt,bb-lemon,1.18436
ccrypt,bb-local,2.04195
ccrypt,bb-none,1
ccrypt,bb-simple,1.00738
ccrypt,cc-lemon,1.02574
ccrypt,cc-local,1.07455
ccrypt,cc-none,1
ccrypt,cc-simple,0.995429
exif,bb-lemon,1.99158
exif,bb-local,12.2499
exif,bb-none,1
exif,bb-simple,0.994453
exif,cc-lemon,1.66306
exif,cc-local,6.40866
exif,cc-none,1
exif,cc-simple,0.985514
flex,bb-lemon,687.441
flex,bb-local,907.419
flex,bb-none,1
flex,bb-simple,0.939832
flex,cc-lemon,126.178
flex,cc-local,780.984
flex,cc-none,1
flex,cc-simple,0.98261
gcc,bb-lemon,78.9416
gcc,bb-local,78.9416
gcc,bb-none,1
gcc,bb-simple,0.939362
gcc,cc-lemon,18.6141
gcc,cc-local,90.3431
gcc,cc-none,1
gcc,cc-simple,0.980661
grep,bb-lemon,1019.74
grep,bb-local,1019.74
grep,bb-none,1
grep,bb-simple,0.916521
grep,cc-lemon,1.52251
grep,cc-local,6.2566
grep,cc-none,1
grep,cc-simple,1.0115
gzip,bb-lemon,25.7578
gzip,bb-local,997.384
gzip,bb-none,1
gzip,bb-simple,0.930113
gzip,cc-lemon,2.19392
gzip,cc-local,23.5439
gzip,cc-none,1
gzip,cc-simple,0.996569
print_tokens,bb-lemon,6.35216
print_tokens,bb-local,78.0536
print_tokens,bb-none,1
print_tokens,bb-simple,0.942264
print_tokens,cc-lemon,1.06315
print_tokens,cc-local,1.29316
print_tokens,cc-none,1
print_tokens,cc-simple,1.00487
print_tokens2,bb-lemon,1.40651
print_tokens2,bb-local,5.45532
print_tokens2,bb-none,1
print_tokens2,bb-simple,0.987198
print_tokens2,cc-gams,323.252
print_tokens2,cc-lemon,1.05649
print_tokens2,cc-local,1.01681
print_tokens2,cc-none,1
print_tokens2,cc-simple,1.00849
replace,bb-lemon,3.76753
replace,bb-local,16.8585
replace,bb-none,1
replace,bb-simple,0.960556
replace,cc-gams,15.0895
replace,cc-lemon,1.01699
replace,cc-local,0.995766
replace,cc-none,1
replace,cc-simple,0.987952
schedule,bb-lemon,1.24311
schedule,bb-local,2.62183
schedule,bb-none,1
schedule,bb-simple,0.981496
schedule,cc-gams,407.146
schedule,cc-lemon,1.08726
schedule,cc-local,1.21854
schedule,cc-none,1
schedule,cc-simple,1.0048
schedule2,bb-gams,657.338
schedule2,bb-lemon,1.08783
schedule2,bb-local,1.34715
schedule2,bb-none,1
schedule2,bb-simple,0.994641
schedule2,cc-gams,65.6686
schedule2,cc-lemon,1.07667
schedule2,cc-local,1.05677
schedule2,cc-none,1
schedule2,cc-simple,0.973248
sed,bb-lemon,863.224
sed,bb-local,1121.85
sed,bb-none,1
sed,bb-simple,0.941453
sed,cc-lemon,12.2293
sed,cc-local,836.249
sed,cc-none,1
sed,cc-simple,0.983943
space,bb-lemon,4.33628
space,bb-local,51.5329
space,bb-none,1
space,bb-simple,0.942115
space,cc-lemon,1.11812
space,cc-local,1.40169
space,cc-none,1
space,cc-simple,1.01822
tcas,bb-gams,22.7484
tcas,bb-lemon,1.01278
tcas,bb-local,0.988069
tcas,bb-none,1
tcas,bb-simple,0.991184
tcas,cc-gams,1.06123
tcas,cc-lemon,0.983241
tcas,cc-local,0.990891
tcas,cc-none,1
tcas,cc-simple,0.98188
tot_info,bb-lemon,1.53373
tot_info,bb-local,4.48771
tot_info,bb-none,1
tot_info,bb-simple,0.992002
tot_info,cc-gams,198.804
tot_info,cc-lemon,1.0541
tot_info,cc-local,1.24679
tot_info,cc-none,1
tot_info,cc-simple,0.999609
